period,pnumber,nnumber
20200727392,6,7
20200727391,2,6
20200727390,7,2
20200727389,9,7
20200727388,1,9
20200727387,3,1
20200727386,8,3
20200727385,3,8
20200727384,0,3
20200727383,7,0
20200727382,2,7
20200727381,7,2
20200727380,4,7
20200727379,3,4
20200727378,4,3
20200727377,2,4
20200727376,2,2
20200727375,8,2
20200727374,0,8
20200727373,2,0
20200727372,7,2
20200727371,1,7
20200727370,2,1
20200727369,0,2
20200727368,1,0
20200727367,9,1
20200727366,0,9
20200727365,8,0
20200727364,6,8
20200727363,3,6
20200727362,5,3
20200727361,4,5
20200727360,7,4
20200727359,5,7
20200727358,7,5
20200727357,9,7
20200727356,5,9
20200727355,2,5
20200727354,1,2
20200727353,4,1
20200727352,8,4
20200727351,4,8
20200727350,2,4
20200727349,1,2
20200727348,9,1
20200727347,9,9
20200727346,0,9
20200727345,1,0
20200727344,5,1
20200727343,4,5
20200727342,6,4
20200727341,3,6
20200727340,3,3
20200727339,8,3
20200727338,7,8
20200727337,9,7
20200727336,2,9
20200727335,7,2
20200727334,2,7
20200727333,5,2
20200727332,6,5
20200727331,4,6
20200727330,0,4
20200727329,1,0
20200727328,1,1
20200727327,6,1
20200727326,8,6
20200727325,6,8
20200727324,1,6
20200727323,7,1
20200727322,5,7
20200727321,6,5
20200727320,6,6
20200727319,2,6
20200727318,7,2
20200727317,2,7
20200727316,1,2
20200727315,4,1
20200727314,1,4
20200727313,8,1
20200727312,1,8
20200727311,5,1
20200727310,3,5
20200727309,8,3
20200727308,7,8
20200727307,1,7
20200727306,8,1
20200727305,5,8
20200727304,5,5
20200727303,4,5
20200727302,1,4
20200727301,7,1
20200727300,0,7
20200727299,3,0
20200727298,8,3
20200727297,1,8
20200727296,8,1
20200727295,5,8
20200727294,2,5
20200727293,6,2
20200727292,4,6
20200727291,4,4
20200727290,0,4
20200727289,7,0
20200727288,6,7
20200727287,2,6
20200727286,2,2
20200727285,1,2
20200727284,4,1
20200727283,3,4
20200727282,1,3
20200727281,8,1
20200727280,2,8
20200727279,7,2
20200727278,3,7
20200727277,5,3
20200727276,6,5
20200727275,3,6
20200727274,3,3
20200727273,9,3
20200727272,0,9
20200727271,4,0
20200727270,1,4
20200727269,1,1
20200727268,2,1
20200727267,2,2
20200727266,9,2
20200727265,1,9
20200727264,2,1
20200727263,4,2
20200727262,4,4
20200727261,3,4
20200727260,0,3
20200727259,1,0
20200727258,2,1
20200727257,1,2
20200727256,0,1
20200727255,5,0
20200727254,1,5
20200727253,6,1
20200727252,5,6
20200727251,2,5
20200727250,6,2
20200727249,0,6
20200727248,7,0
20200727247,9,7
20200727246,8,9
20200727245,8,8
20200727244,2,8
20200727243,3,2
20200727242,9,3
20200727241,7,9
20200727240,7,7
20200727239,0,7
20200727238,1,0
20200727237,1,1
20200727236,2,1
20200727235,5,2
20200727234,1,5
20200727233,8,1
20200727232,5,8
20200727231,0,5
20200727230,2,0
20200727229,5,2
20200727228,9,5
20200727227,7,9
20200727226,7,7
20200727225,7,7
20200727224,5,7
20200727223,6,5
20200727222,6,6
20200727221,5,6
20200727220,1,5
20200727219,1,1
20200727218,4,1
20200727217,5,4
20200727216,3,5
20200727215,5,3
20200727214,2,5
20200727213,7,2
20200727212,6,7
20200727211,5,6
20200727210,7,5
20200727209,8,7
20200727208,9,8
20200727207,7,9
20200727206,8,7
20200727205,7,8
20200727204,9,7
20200727203,6,9
20200727202,5,6
20200727201,6,5
20200727200,3,6
20200727199,6,3
20200727198,0,6
20200727197,1,0
20200727196,9,1
20200727195,2,9
20200727194,0,2
20200727193,4,0
20200727192,3,4
20200727191,6,3
20200727190,7,6
20200727189,9,7
20200727188,0,9
20200727187,7,0
20200727186,7,7
20200727185,5,7
20200727184,0,5
20200727183,8,0
20200727182,4,8
20200727181,4,4
20200727180,2,4
20200727179,1,2
20200727178,4,1
20200727177,1,4
20200727176,4,1
20200727175,9,4
20200727174,2,9
20200727173,6,2
20200727172,7,6
20200727171,6,7
20200727170,5,6
20200727169,5,5
20200727168,3,5
20200727167,8,3
20200727166,4,8
